#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
275000,275.0,-576276.963857,299.621698803,1.0061826274,23.3
276000,276.0,-577205.600982,296.8439191,1.00029238199,23.3
277000,277.0,-576533.407516,297.464249739,1.00363888193,23.3
278000,278.0,-575936.772717,298.569492547,1.0018841384,23.3
279000,279.0,-576833.244311,299.996421525,1.00597191283,23.3
280000,280.0,-576643.98612,298.489626357,1.00152995546,23.3
281000,281.0,-576558.920802,300.064853854,1.00130055234,23.3
282000,282.0,-576234.299393,300.080991803,1.0010923398,23.3
283000,283.0,-576987.646011,302.50971469,1.00351618707,23.3
284000,284.0,-577041.35774,299.602447583,1.00725943972,23.3
285000,285.0,-575896.662522,296.214507988,1.00507041757,23.3
286000,286.0,-575116.657591,300.302668652,1.00867952642,23.3
287000,287.0,-576203.372461,301.259218197,1.00426109236,23.3
288000,288.0,-577219.493978,300.268355371,1.00990350188,23.3
289000,289.0,-575574.756672,300.004022254,1.00895602044,23.3
290000,290.0,-575431.231583,298.965285233,1.00409817754,23.3
291000,291.0,-575898.659748,300.23836251,1.00531075579,23.3
292000,292.0,-576946.701365,300.146830069,1.00579887601,23.3
293000,293.0,-576886.000355,300.85609327,1.00226627042,23.3
294000,294.0,-576484.795482,299.171913472,1.0044200107,23.3
295000,295.0,-575383.408041,299.586980916,1.00327648051,23.3
296000,296.0,-576509.281784,300.853305467,1.00914124156,23.3
297000,297.0,-577534.728769,299.422440799,1.0045174004,23.3
298000,298.0,-575869.930824,298.182871579,1.00396159031,23.3
299000,299.0,-577276.752815,300.92692077,1.00757264909,23.3
300000,300.0,-577226.028953,299.691786995,1.00800672733,23.3
301000,301.0,-576228.568493,299.145757916,1.0066240417,23.3
302000,302.0,-576184.506922,302.479636918,1.00353839691,23.3
303000,303.0,-576507.18318,301.790138317,1.00275533246,23.3
304000,304.0,-576602.647287,300.905036796,1.00457927676,23.3
305000,305.0,-576882.638255,300.769639261,1.00480653235,23.3
306000,306.0,-576498.208083,300.947294595,1.00696334251,23.3
307000,307.0,-576014.35587,298.656961102,1.0021680485,23.3
308000,308.0,-576244.40202,301.053774263,1.00312759502,23.3
309000,309.0,-576776.464647,300.340679261,1.00624162151,23.3
310000,310.0,-576688.088267,300.66859745,1.00358682492,23.3
311000,311.0,-575148.088646,299.316270018,1.00432401012,23.3
312000,312.0,-575983.005785,303.032011163,1.00737403126,23.3
313000,313.0,-575799.345669,302.032550587,1.00366298604,23.3
314000,313.999999999,-577139.581112,301.506704915,1.00478488628,23.3
315000,314.999999999,-577902.745429,300.085232781,1.00473684723,23.3
316000,315.999999999,-576321.985443,298.648758255,1.0034411209,23.3
317000,316.999999999,-576528.01445,302.422204643,1.00503284848,23.3
318000,317.999999999,-577903.077103,299.867512663,1.00615490051,23.3
319000,318.999999999,-575999.540516,300.240101005,1.0018091726,23.3
320000,319.999999999,-576382.395285,300.179863115,1.00421853791,23.3
321000,320.999999999,-576027.273678,301.353457139,1.00554835405,23.3
322000,321.999999999,-573666.018867,299.013845503,1.00001128056,23.3
323000,322.999999999,-576047.831104,301.275801697,1.00758951313,23.3
324000,323.999999999,-576562.709131,301.930762341,1.00647632295,23.3
325000,324.999999999,-576013.528078,299.741773746,1.00348288332,23.3
326000,325.999999999,-576324.069655,299.971468951,1.00084852428,23.3
327000,326.999999999,-576591.708598,300.038037773,1.00577894678,23.3
328000,327.999999999,-575259.075781,299.572174201,1.00641089617,23.3
329000,328.999999999,-576123.247955,300.147856192,1.00270658213,23.3
